The number of Constituents of vertex 0: is 56
    GenPart 103 pt: 0.742396, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 104 pt: 0.887755, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 105 pt: 1.90756, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 106 pt: 0.596377, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 107 pt: 0.417333, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 108 pt: 0.738382, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 109 pt: 1.03325, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 110 pt: 0.263679, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 111 pt: 0.492717, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 112 pt: 0.418013, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 113 pt: 0.890281, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 114 pt: 0.384302, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 115 pt: 1.45361, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 116 pt: 0.487272, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 117 pt: 6.26231, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 118 pt: 0.50173, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 119 pt: 1.60168, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 120 pt: 0.376579, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 121 pt: 0.431491, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 122 pt: 0.615575, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 123 pt: 0.286187, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 124 pt: 1.06717, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 125 pt: 0.854065, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 126 pt: 1.56184, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 127 pt: 2.18057, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 128 pt: 1.10818, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 129 pt: 2.0984, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 130 pt: 1.81949, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 131 pt: 0.078431, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 132 pt: 0.904904, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 133 pt: 0.588203, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
